customer_id,age,tenure_months,balance,num_products,is_active,churn
CUST_00001,47,69,164860.03,1,0,0
CUST_00002,79,39,0.0,2,1,1
CUST_00003,29,32,68669.48,2,0,0
CUST_00004,59,15,82618.58,1,1,1
CUST_00005,58,9,172938.0,1,0,0
CUST_00006,53,23,0.0,4,1,0
CUST_00007,54,52,197282.35,2,1,0
CUST_00008,57,41,142087.27,2,0,0
CUST_00009,20,20,0.0,2,1,0
CUST_00010,32,69,235080.18,1,1,0
CUST_00011,68,63,225465.13,2,1,0
CUST_00012,63,52,68831.96,1,1,0
CUST_00013,23,52,72031.47,1,0,1
CUST_00014,34,21,195504.3,2,0,0
CUST_00015,24,2,191826.48,1,1,1
CUST_00016,36,66,70128.2,3,0,1
CUST_00017,74,50,23615.98,2,0,0
CUST_00018,62,48,176848.81,1,1,0
CUST_00019,78,42,123349.29,2,0,1
CUST_00020,21,60,0.0,2,0,1
CUST_00021,66,51,0.0,2,0,1
CUST_00022,45,34,0.0,1,1,1
CUST_00023,42,57,20990.4,1,1,0
CUST_00024,53,9,137180.31,1,0,1
CUST_00025,18,61,0.0,2,0,1
CUST_00026,46,31,2219.48,2,0,0
CUST_00027,33,67,74755.41,1,0,0
CUST_00028,32,32,0.0,3,0,1
CUST_00029,47,35,164960.28,2,1,0
CUST_00030,57,28,0.0,1,1,0
CUST_00031,70,34,91395.81,1,1,0
CUST_00032,38,17,157244.68,1,1,0
CUST_00033,23,61,0.0,2,0,0
CUST_00034,49,35,0.0,2,0,1
CUST_00035,35,40,113204.17,1,0,0
CUST_00036,59,63,178344.88,3,1,0
CUST_00037,28,26,107029.53,1,0,1
CUST_00038,42,55,65726.73,2,1,0
CUST_00039,21,61,210622.43,4,0,0
CUST_00040,28,53,142061.85,2,1,0
CUST_00041,40,62,139960.48,2,0,1
CUST_00042,39,25,0.0,1,1,0
CUST_00043,62,47,230727.63,2,1,1
CUST_00044,19,33,0.0,3,1,0
CUST_00045,24,27,201335.28,2,1,0
CUST_00046,44,69,94623.51,2,1,0
CUST_00047,23,35,143759.58,2,1,0
CUST_00048,59,71,190041.68,2,0,0
CUST_00049,65,27,114330.16,1,1,1
CUST_00050,23,29,55171.31,2,0,0
CUST_00051,74,55,99874.33,1,0,1
CUST_00052,57,55,3500.6,2,1,1
CUST_00053,78,22,0.0,2,1,1
CUST_00054,51,10,0.0,1,1,0
CUST_00055,50,15,158564.85,1,0,1
CUST_00056,18,12,0.0,1,1,0
CUST_00057,52,48,0.0,1,1,0
CUST_00058,45,14,154651.74,1,1,0
CUST_00059,46,23,109910.32,4,0,0
CUST_00060,47,54,0.0,1,0,1
CUST_00061,27,26,57485.74,2,1,0
CUST_00062,25,3,52944.72,1,1,0
CUST_00063,30,47,239173.56,2,1,0
CUST_00064,49,1,96610.02,1,1,0
CUST_00065,63,17,19978.23,1,1,1
CUST_00066,48,7,53710.95,1,0,0
CUST_00067,25,2,0.0,1,0,1
CUST_00068,76,37,0.0,1,1,1
CUST_00069,78,15,0.0,1,0,1
CUST_00070,28,10,111858.42,1,1,0
CUST_00071,25,47,132570.01,2,0,0
CUST_00072,77,23,178068.6,1,0,1
CUST_00073,63,8,94937.69,1,0,0
CUST_00074,77,32,168252.31,3,1,0
CUST_00075,26,53,71123.67,3,0,0
CUST_00076,66,55,196640.41,1,1,0
CUST_00077,39,61,230265.86,1,1,0
CUST_00078,75,41,0.0,1,1,0
CUST_00079,57,11,126033.44,2,1,0
CUST_00080,74,8,86579.3,1,0,1
CUST_00081,45,35,0.0,1,0,1
CUST_00082,69,26,0.0,1,0,1
CUST_00083,70,69,0.0,2,1,0
CUST_00084,34,40,92255.33,2,0,0
CUST_00085,28,65,4708.42,1,1,1
CUST_00086,50,67,0.0,2,0,0
CUST_00087,47,67,128752.17,1,1,0
CUST_00088,29,65,38551.12,1,1,0
CUST_00089,73,22,127990.87,3,0,0
CUST_00090,77,32,194135.01,1,0,0
CUST_00091,72,69,205452.32,3,0,0
CUST_00092,31,64,0.0,2,1,1
CUST_00093,75,54,83503.72,2,0,1
CUST_00094,31,31,33169.03,1,1,0
CUST_00095,62,17,125889.51,2,1,0
CUST_00096,35,57,78375.81,2,1,0
CUST_00097,24,29,0.0,1,1,0
CUST_00098,43,59,148721.89,1,1,0
CUST_00099,19,59,46538.55,3,1,0
CUST_00100,56,42,15043.2,1,0,0
CUST_00101,28,40,67761.41,2,0,1
CUST_00102,60,14,0.0,2,0,0
CUST_00103,50,47,0.0,1,0,0
CUST_00104,63,21,205414.53,1,1,1
CUST_00105,56,51,74536.45,1,0,1
