date,store_id,product_category,units_sold,revenue,promotion_active
2025-03-07,STR_015,Electronics,11,1530.91,0
2025-10-22,STR_016,Electronics,36,5873.78,0
2025-11-02,STR_009,Clothing,82,3745.04,0
2025-10-20,STR_004,Toys,44,993.07,0
2025-01-29,STR_016,Electronics,16,2489.38,0
2025-11-24,STR_020,Clothing,158,6637.87,1
2025-03-01,STR_004,Clothing,118,5097.06,1
2025-12-20,STR_011,Clothing,24,1037.94,0
2025-09-22,STR_001,Electronics,59,9528.16,0
2025-08-31,STR_007,Electronics,30,4374.91,1
2025-05-08,STR_016,Toys,40,939.2,1
2025-11-28,STR_005,Toys,93,2539.39,0
2025-06-28,STR_009,Toys,116,3067.17,1
2025-03-10,STR_018,Clothing,68,3307.96,0
2025-02-01,STR_020,Toys,26,602.37,0
2025-10-27,STR_017,Clothing,56,2634.6,0
2025-03-12,STR_009,Food,32,257.36,1
2025-10-17,STR_016,Home,24,1926.75,0
2025-11-22,STR_011,Electronics,60,8880.66,1
2025-03-28,STR_007,Toys,148,3902.41,1
2025-05-05,STR_014,Clothing,40,1791.73,0
2025-01-13,STR_012,Toys,36,944.95,0
2025-07-07,STR_004,Food,82,627.83,0
2025-02-22,STR_016,Food,12,96.24,0
2025-07-17,STR_008,Toys,46,1163.63,0
2025-10-02,STR_018,Electronics,118,16060.42,1
2025-12-25,STR_008,Electronics,61,9690.76,0
2025-01-23,STR_002,Food,11,92.8,0
2025-05-13,STR_020,Toys,60,1533.01,0
2025-11-27,STR_015,Food,28,253.08,0
2025-11-28,STR_010,Toys,17,450.26,0
2025-03-22,STR_007,Clothing,42,1722.51,0
2025-05-24,STR_016,Clothing,20,817.56,0
2025-03-16,STR_018,Home,43,3097.52,0
2025-03-25,STR_002,Home,69,6007.78,0
2025-03-04,STR_005,Home,64,4759.6,0
2025-11-13,STR_002,Electronics,48,7735.02,1
2025-09-18,STR_013,Clothing,36,1696.09,0
2025-10-14,STR_014,Clothing,48,2053.54,0
2025-12-08,STR_018,Food,74,687.24,1
2025-09-30,STR_002,Home,15,1251.94,0
2025-08-12,STR_005,Home,146,10812.3,1
2025-07-25,STR_019,Food,19,166.74,0
2025-12-12,STR_004,Home,64,5286.94,1
2025-07-13,STR_009,Toys,112,2905.47,1
2025-12-21,STR_009,Home,170,13260.46,1
2025-11-20,STR_003,Home,32,2615.42,0
2025-02-15,STR_014,Food,28,225.84,1
2025-07-24,STR_010,Home,24,1936.06,0
2025-10-22,STR_012,Clothing,64,2656.53,0
2025-07-23,STR_014,Clothing,92,4406.89,1
2025-04-07,STR_011,Clothing,20,942.76,0
2025-08-10,STR_011,Food,73,651.01,0
2025-01-02,STR_011,Clothing,35,1575.77,0
2025-10-17,STR_003,Toys,90,2299.41,0
2025-05-21,STR_009,Electronics,42,6719.9,0
2025-12-10,STR_002,Clothing,78,3327.91,1
2025-07-01,STR_002,Food,45,357.04,0
2025-12-27,STR_017,Clothing,99,4214.16,0
2025-12-11,STR_014,Home,37,3201.61,0
2025-08-08,STR_011,Toys,44,1033.38,0
2025-04-12,STR_019,Food,90,808.86,0
2025-01-28,STR_011,Food,15,121.48,0
2025-02-11,STR_016,Electronics,72,9939.96,0
2025-06-21,STR_009,Clothing,88,3963.27,0
2025-09-28,STR_012,Electronics,81,11365.89,0
2025-01-30,STR_019,Toys,28,635.14,1
2025-10-02,STR_017,Home,77,5667.41,0
2025-05-16,STR_002,Toys,114,2604.99,1
2025-06-23,STR_010,Electronics,78,12651.91,0
2025-11-07,STR_015,Clothing,44,1916.73,1
2025-04-03,STR_003,Food,154,1278.38,1
2025-07-19,STR_010,Toys,43,1020.2,0
2025-06-19,STR_014,Clothing,37,1710.77,0
2025-02-21,STR_007,Toys,62,1594.16,0
2025-01-05,STR_008,Toys,78,1907.4,0
2025-04-08,STR_018,Clothing,66,3050.12,0
2025-03-17,STR_014,Clothing,88,4350.63,1
2025-05-14,STR_013,Clothing,128,5919.59,1
2025-08-03,STR_017,Food,21,167.22,0
2025-07-15,STR_010,Food,22,185.16,0
2025-04-11,STR_007,Toys,43,1150.57,0
2025-05-07,STR_010,Food,31,254.29,0
2025-05-12,STR_010,Toys,99,2572.45,0
2025-05-03,STR_019,Electronics,20,2906.42,0
2025-06-22,STR_007,Toys,28,636.08,0
2025-10-19,STR_008,Toys,52,1253.76,1
2025-01-28,STR_016,Electronics,90,12316.9,0
2025-10-06,STR_004,Clothing,88,3929.55,0
2025-02-14,STR_004,Home,126,10830.22,1
2025-06-08,STR_001,Clothing,63,2891.59,0
2025-08-02,STR_010,Toys,45,1066.69,0
2025-12-26,STR_011,Food,16,136.77,0
2025-11-06,STR_019,Home,41,3320.14,0
2025-09-01,STR_020,Toys,140,3747.54,1
2025-08-25,STR_008,Toys,37,903.82,0
2025-10-30,STR_016,Clothing,166,7508.95,1
2025-04-22,STR_017,Food,93,798.09,0
2025-04-08,STR_005,Food,74,672.83,1
2025-09-05,STR_010,Home,20,1523.03,0
2025-03-15,STR_017,Electronics,25,4098.78,0
2025-05-09,STR_010,Toys,85,1951.28,0
2025-01-30,STR_008,Food,72,577.57,0
2025-06-18,STR_007,Electronics,46,7496.14,1
2025-07-24,STR_007,Home,74,5497.42,0
2025-08-25,STR_020,Home,136,11350.21,1
2025-08-19,STR_019,Electronics,31,4853.53,0
2025-09-17,STR_004,Toys,41,1066.58,0
2025-06-19,STR_013,Electronics,98,13276.68,0
2025-02-10,STR_011,Electronics,30,4255.31,0
2025-05-27,STR_003,Clothing,46,2096.16,0
2025-09-13,STR_020,Electronics,27,4044.73,0
2025-08-16,STR_018,Clothing,95,4634.33,0
2025-02-15,STR_012,Home,93,7581.67,0
2025-02-26,STR_001,Clothing,34,1456.97,0
2025-06-11,STR_019,Electronics,55,8360.77,0
2025-01-08,STR_002,Toys,84,1985.61,1
2025-11-22,STR_020,Food,11,99.91,0
2025-07-02,STR_001,Toys,88,2231.97,0
2025-10-29,STR_002,Electronics,118,19002.81,1
2025-08-24,STR_015,Home,98,7241.54,0
2025-09-15,STR_005,Electronics,45,7312.29,0
2025-02-06,STR_004,Electronics,69,10308.19,0
2025-06-11,STR_004,Clothing,76,3095.46,0
2025-12-25,STR_020,Food,63,538.13,0
2025-12-19,STR_004,Toys,80,2009.7,0
2025-04-01,STR_012,Toys,98,2418.12,0
2025-05-01,STR_006,Food,30,239.86,0
2025-10-25,STR_015,Toys,89,2104.02,0
2025-02-05,STR_013,Toys,58,1500.45,0
2025-08-14,STR_001,Electronics,10,1423.63,0
2025-12-06,STR_001,Clothing,67,3271.31,0
2025-02-28,STR_013,Home,68,5603.24,0
2025-09-14,STR_017,Clothing,34,1669.47,0
2025-12-25,STR_010,Clothing,52,2243.31,0
2025-10-28,STR_001,Toys,192,5018.38,1
2025-05-11,STR_018,Electronics,99,14713.01,0
2025-11-15,STR_004,Home,84,6963.14,0
2025-05-29,STR_006,Home,74,6015.38,1
2025-05-05,STR_016,Toys,47,1064.02,0
2025-05-13,STR_019,Clothing,198,9046.94,1
2025-04-22,STR_006,Toys,78,1867.91,0
2025-10-28,STR_012,Home,20,1500.52,0
2025-10-04,STR_003,Home,92,6995.55,0
2025-04-06,STR_001,Electronics,35,5041.24,0
2025-06-16,STR_001,Toys,71,1757.57,0
2025-04-21,STR_004,Clothing,24,1142.09,0
2025-03-18,STR_007,Clothing,146,6793.54,1
2025-04-26,STR_017,Food,11,95.48,0
2025-06-21,STR_016,Home,28,2135.74,0
2025-04-04,STR_010,Clothing,60,2959.16,0
2025-10-21,STR_009,Home,48,3922.33,0
2025-07-07,STR_001,Food,12,102.52,0
2025-05-27,STR_005,Food,122,1087.51,1
2025-02-18,STR_020,Electronics,92,14491.41,0
2025-07-10,STR_020,Food,39,359.51,0
2025-12-16,STR_018,Food,76,616.01,0
2025-04-06,STR_001,Home,64,4848.79,0
2025-02-15,STR_012,Clothing,42,2022.65,0
2025-01-16,STR_018,Electronics,45,6105.96,0
2025-06-28,STR_013,Electronics,110,17832.42,1
2025-09-21,STR_019,Toys,49,1190.25,0
2025-02-13,STR_007,Toys,93,2533.94,0
2025-11-05,STR_010,Home,144,10673.51,1
2025-06-18,STR_016,Home,104,8957.01,1
2025-04-11,STR_012,Food,31,252.95,0
2025-11-03,STR_019,Clothing,75,3129.91,0
2025-05-29,STR_018,Toys,60,1603.1,0
2025-05-20,STR_017,Electronics,67,10389.89,0
2025-11-17,STR_007,Home,42,3482.73,0
2025-03-18,STR_002,Clothing,58,2521.16,0
2025-07-19,STR_011,Electronics,75,12178.16,0
2025-07-30,STR_014,Food,97,846.98,0
2025-08-16,STR_017,Electronics,99,16075.55,0
2025-10-01,STR_001,Food,48,394.17,0
2025-12-12,STR_015,Home,59,4410.64,0
2025-10-19,STR_008,Toys,72,1772.18,0
2025-08-21,STR_012,Electronics,48,6629.3,1
2025-09-22,STR_006,Clothing,61,2954.89,0
2025-06-11,STR_010,Home,38,2969.24,1
2025-09-12,STR_010,Electronics,91,13297.7,0
2025-12-27,STR_012,Home,128,10834.47,1
2025-10-13,STR_020,Electronics,87,11782.9,0
2025-05-12,STR_017,Clothing,50,2403.4,1
2025-06-19,STR_014,Electronics,96,14638.09,1
2025-02-21,STR_020,Toys,27,703.35,0
2025-08-21,STR_006,Toys,56,1525.51,1
2025-11-01,STR_001,Clothing,144,7118.39,1
2025-04-22,STR_007,Electronics,106,17318.89,1
2025-04-03,STR_001,Toys,48,1206.45,0
2025-03-06,STR_011,Food,21,175.34,0
2025-05-18,STR_014,Home,13,975.38,0
2025-03-10,STR_001,Clothing,83,3534.58,0
2025-02-14,STR_003,Food,44,409.84,0
